,Platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Google Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day of Date,ActiveUsers,Revenue,Day 1,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 2,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,ActiveUsers,Revenue,Day 1,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 2,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9
01-Apr-19,"3,312",233,48.44%,11.33%,9.56%,7.78%,8.89%,7.78%,8.00%,7.11%,6.00%,4.67%,5.11%,36.22%,5.33%,5.33%,5.56%,4.67%,4.67%,4.44%,4.22%,3.11%,4.00%,4.00%,28.67%,23.11%,18.89%,18.89%,16.00%,14.44%,12.44%,179,26,39.13%,4.35%,4.35%,0.00%,0.00%,8.70%,8.70%,8.70%,4.35%,4.35%,0.00%,30.43%,4.35%,4.35%,4.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.04%,13.04%,8.70%,13.04%,17.39%,13.04%,8.70%
02-Apr-19,"3,416",318,52.44%,13.56%,11.57%,10.67%,10.49%,10.85%,8.50%,9.58%,7.78%,8.32%,7.05%,38.88%,7.96%,6.87%,7.23%,6.51%,6.15%,5.42%,5.61%,5.79%,5.42%,4.70%,29.29%,26.22%,24.41%,20.43%,18.08%,17.00%,14.65%,176,15,29.17%,8.33%,8.33%,8.33%,8.33%,8.33%,8.33%,8.33%,8.33%,8.33%,8.33%,37.50%,8.33%,8.33%,8.33%,8.33%,8.33%,8.33%,8.33%,8.33%,8.33%,8.33%,29.17%,37.50%,29.17%,16.67%,20.83%,12.50%,12.50%
03-Apr-19,"3,483",279,49.72%,12.29%,11.92%,11.36%,10.80%,9.87%,8.01%,8.57%,7.82%,7.64%,8.75%,37.06%,6.15%,6.52%,6.70%,6.52%,5.40%,5.77%,6.15%,5.77%,5.21%,4.84%,27.56%,25.51%,21.60%,20.67%,17.69%,14.15%,13.04%,158,28,43.48%,21.74%,21.74%,21.74%,21.74%,21.74%,17.39%,21.74%,13.04%,17.39%,21.74%,39.13%,17.39%,17.39%,13.04%,17.39%,17.39%,8.70%,13.04%,13.04%,13.04%,13.04%,34.78%,26.09%,30.43%,21.74%,21.74%,21.74%,21.74%
04-Apr-19,"3,429",226,45.58%,14.62%,12.69%,11.54%,10.77%,11.54%,9.04%,8.27%,7.69%,6.73%,8.27%,33.85%,7.31%,8.08%,7.31%,6.92%,5.58%,5.00%,5.58%,4.81%,4.81%,5.00%,28.46%,25.19%,21.15%,20.19%,17.69%,16.35%,16.35%,182,0,50.00%,7.69%,3.85%,11.54%,7.69%,3.85%,11.54%,11.54%,11.54%,7.69%,15.38%,34.62%,7.69%,7.69%,7.69%,7.69%,3.85%,3.85%,7.69%,3.85%,3.85%,3.85%,30.77%,19.23%,15.38%,11.54%,15.38%,11.54%,11.54%
05-Apr-19,"3,314",303,46.84%,15.25%,12.42%,10.89%,10.24%,8.93%,8.06%,8.93%,7.41%,7.41%,6.97%,32.68%,6.32%,5.01%,5.23%,5.66%,5.88%,4.79%,5.23%,5.45%,4.14%,4.58%,24.62%,23.53%,18.52%,18.52%,15.47%,13.51%,16.12%,163,4,45.00%,10.00%,20.00%,10.00%,0.00%,10.00%,10.00%,10.00%,5.00%,5.00%,0.00%,35.00%,10.00%,15.00%,10.00%,5.00%,10.00%,5.00%,0.00%,10.00%,5.00%,5.00%,20.00%,30.00%,25.00%,20.00%,15.00%,5.00%,0.00%
06-Apr-19,"3,466",233,47.67%,12.13%,12.13%,10.96%,10.30%,8.64%,9.63%,8.14%,9.80%,8.64%,8.47%,32.06%,7.81%,7.48%,6.48%,6.48%,6.98%,6.15%,5.32%,5.81%,5.32%,5.48%,29.24%,25.42%,21.43%,18.60%,17.28%,15.61%,12.13%,187,3,41.18%,5.88%,5.88%,2.94%,5.88%,5.88%,5.88%,5.88%,5.88%,2.94%,2.94%,29.41%,5.88%,5.88%,5.88%,5.88%,5.88%,5.88%,2.94%,5.88%,0.00%,2.94%,17.65%,17.65%,14.71%,11.76%,8.82%,8.82%,5.88%
07-Apr-19,"3,630",244,44.41%,13.61%,13.13%,12.16%,13.29%,12.80%,10.86%,10.86%,9.72%,8.91%,8.43%,35.33%,7.94%,8.59%,7.29%,7.62%,6.97%,6.65%,5.51%,5.83%,6.65%,3.08%,29.66%,22.37%,22.04%,19.45%,19.29%,17.18%,16.05%,175,44,38.89%,5.56%,5.56%,11.11%,5.56%,0.00%,11.11%,5.56%,5.56%,5.56%,5.56%,16.67%,5.56%,5.56%,11.11%,5.56%,5.56%,5.56%,5.56%,0.00%,5.56%,0.00%,5.56%,5.56%,11.11%,16.67%,11.11%,16.67%,22.22%
08-Apr-19,"3,452",267,47.36%,13.01%,11.18%,11.18%,10.16%,10.98%,11.79%,8.33%,7.72%,7.93%,6.50%,35.37%,7.11%,7.11%,6.30%,5.89%,5.49%,5.49%,4.88%,5.69%,5.49%,4.67%,28.05%,22.15%,18.90%,17.68%,15.04%,14.23%,12.60%,177,4,41.67%,16.67%,12.50%,16.67%,12.50%,12.50%,8.33%,8.33%,12.50%,4.17%,4.17%,33.33%,8.33%,8.33%,8.33%,12.50%,4.17%,8.33%,8.33%,8.33%,8.33%,4.17%,20.83%,16.67%,16.67%,12.50%,12.50%,12.50%,12.50%
09-Apr-19,"3,433",142,46.82%,10.81%,10.81%,9.11%,9.75%,8.90%,9.75%,9.32%,8.47%,8.26%,8.69%,34.75%,7.42%,7.84%,5.30%,6.57%,8.05%,7.63%,6.14%,5.51%,5.08%,4.03%,28.81%,23.52%,19.70%,18.64%,14.83%,14.41%,12.08%,164,1,55.56%,27.78%,22.22%,16.67%,22.22%,11.11%,22.22%,16.67%,16.67%,11.11%,16.67%,33.33%,11.11%,22.22%,16.67%,16.67%,16.67%,22.22%,22.22%,11.11%,5.56%,16.67%,27.78%,38.89%,22.22%,27.78%,27.78%,27.78%,27.78%
10-Apr-19,"3,442",224,47.52%,14.04%,13.82%,12.10%,12.31%,10.58%,10.37%,12.10%,9.50%,8.42%,9.50%,32.61%,8.86%,7.78%,7.99%,7.99%,7.13%,8.21%,7.13%,6.48%,5.83%,6.05%,28.29%,25.49%,23.33%,19.65%,18.14%,16.85%,14.90%,159,0,50.00%,21.43%,14.29%,14.29%,14.29%,7.14%,14.29%,14.29%,14.29%,7.14%,14.29%,35.71%,7.14%,7.14%,7.14%,7.14%,0.00%,0.00%,7.14%,7.14%,7.14%,7.14%,21.43%,21.43%,28.57%,28.57%,28.57%,28.57%,28.57%
